,visible_mean,visible_max,visible_min,visible_mean_distribution,visible_contrast,visible_entropy,visible_second_angular_momentum,IR_mean,IR_max,IR_min,class,IR_norm_range,IR_range,log_entropy,entropy_x_contrast
431,26.6431,131.1245,85.6129,9.4,154.325,0.0517,3.1573,-9.8224,18.7228,-1.507,1,-2.0595577455611664,20.2298,-2.9622974974677536,7.9786025
890,6.0,106.0,29.2969,0.0391,181.4458,0.0487,3.2363,209.0,245.0,233.0039,0,0.057397607655502454,11.996100000000013,-3.022076248893593,8.83641046
116,7.5097,107.6914,62.263,7.6958,100.0542,0.0618,2.9786,-18.6017,31.207,-3.1764,1,-1.8484009526011063,34.3834,-2.783851914518492,6.18334956
148,41.9069,119.7304,77.719,6.5292,70.9875,0.0669,2.8488,-18.0396,5.9,-6.013,1,-0.6603804962416018,11.913,-2.7045563118479543,4.7490637499999995
598,26.2132,74.7991,48.4596,2.6583,11.9,0.1442,2.0507,-80.6227,-9.5551,-44.5611,1,-0.43419533208389205,35.006,-1.9365540541312884,1.71598
529,4.0,104.0,18.8594,0.0454,308.8042,0.0538,3.302,203.0,250.0,240.9063,0,0.04479655172413799,9.093700000000013,-2.9224818118143983,16.61366596
891,6.0,76.0,25.7852,0.0382,164.2542,0.0493,3.2166,211.0,244.0,234.4531,0,0.04524597156398101,9.546899999999994,-3.009831197933493,8.097732059999998
54,47.0664,98.8771,72.1925,5.9417,59.6167,0.0761,2.7514,-21.1547,-6.3784,-13.0985,1,-0.31766463244574494,6.7200999999999995,-2.575707014114497,4.53683087
394,3.0,172.0,29.5508,0.0732,800.7667,0.035,3.6856,176.0,245.0,230.8164,0,0.08058863636363643,14.183600000000013,-3.3524072174927233,28.026834500000003
407,10.0,154.0,48.8984,0.0806,737.7208,0.0264,3.8117,180.0,246.0,226.2266,0,0.10985222222222227,19.77340000000001,-3.6343912688298667,19.47582912
938,8.5846,138.2189,57.9188,10.1167,170.1583,0.0467,3.2234,-44.8302,32.7164,-0.273,1,-0.7358744774727751,32.9894,-3.0640111143072857,7.946392609999999
992,4.285,102.5318,26.1737,9.2625,169.8708,0.0547,3.2024,11.4652,41.9693,34.5701,1,0.6453616160206539,7.3992,-2.9058915695542016,9.29193276
588,4.9299,66.1998,23.3487,6.0125,70.5125,0.0788,2.7877,7.6109,39.9005,28.9845,1,1.434258760461969,10.916,-2.540842282118304,5.556385
934,3.4251,19.7637,4.2556,0.3708,1.8042,0.7559,0.6046,35.9152,41.5571,40.8375,1,0.02003608500022274,0.7195999999999998,-0.279846186684006,1.36379478
629,25.5682,79.0988,52.6257,2.1542,10.4708,0.1872,1.9317,-73.4684,0.0646,-43.4173,1,-0.5918449292484932,43.481899999999996,-1.6755777149386453,1.9601337600000002
12,3.0,169.0,57.9648,0.0844,802.8417,0.0263,3.8562,153.0,237.0,203.0938,0,0.22160915032679745,33.90620000000001,-3.638186339798418,21.11473671
293,5.0,151.0,46.3125,0.092,986.0541,0.0233,3.9459,165.0,240.0,215.5352,0,0.14827151515151513,24.464799999999997,-3.759301918410482,22.97506053
308,7.0,135.0,36.2227,0.0585,425.4126,0.0343,3.5926,179.0,242.0,225.8789,0,0.09006201117318442,16.121100000000013,-3.372609924810243,14.591652179999999
